.id,gene_name,gene_id,lsv_id,mean_psi_per_lsv_junction,stdev_psi_per_lsv_junction,num_junctions,num_exons,de_novo_junctions,seqid,strand,lsv_junc,junc_start,junc_end,ir_start,ir_end,paste_into_igv_junction,exon_type,color_gene_name,alpha_gene_name,label_junction
ctrl_ctrl,HECW1,ENSG00000002746.15,ENSG00000002746.15:s:43444215-43445570,0.0245,0.0129,3,3,1,chr7,+,ENSG00000002746.15:s:43444215-43445570_43445571-43450827,43445571,43450827,43445571,43450827,chr7:43445571-43450827,source,non-NMD rescued,0,""
ctrl_ctrl,TSPOAP1,ENSG00000005379.17,ENSG00000005379.17:s:58306182-58306429,0.0216,0.0118,2,2,1,chr17,-,ENSG00000005379.17:s:58306182-58306429_58305865-58306182,58305865,58306182,,,chr17:58305865-58306182,source,non-NMD rescued,0,""
ctrl_ctrl,CDK11A,ENSG00000008128.23,ENSG00000008128.23:t:1709479-1709640,0.0141,0.0085,3,4,1,chr1,-,ENSG00000008128.23:t:1709479-1709640_1709640-1719358,1709640,1719358,,,chr1:1709640-1719358,target,non-NMD rescued,0,""
ctrl_ctrl,EXTL3,ENSG00000012232.9,ENSG00000012232.9:s:28701501-28701659,0.0344,0.0171,3,4,1,chr8,+,ENSG00000012232.9:s:28701501-28701659_28701659-28731223,28701659,28731223,,,chr8:28701659-28731223,source,NMD rescued,0,""
ctrl_ctrl,SYT7,ENSG00000011347.10,ENSG00000011347.10:s:61551384-61551463,2e-04,0,4,5,1,chr11,-,ENSG00000011347.10:s:61551384-61551463_61547620-61551384,61547620,61551384,,,chr11:61547620-61551384,source,non-NMD rescued,0,""
ctrl_ctrl,SYT7,ENSG00000011347.10,ENSG00000011347.10:t:61547177-61547308,9e-04,0,2,3,1,chr11,-,ENSG00000011347.10:t:61547177-61547308_61547308-61547530,61547308,61547530,,,chr11:61547308-61547530,target,non-NMD rescued,0,""
ctrl_ctrl,CLDN11,ENSG00000013297.12,ENSG00000013297.12:s:170423163-170423742,0.0081,0.009,2,2,1,chr3,+,ENSG00000013297.12:s:170423163-170423742_170423327-170432279,170423327,170432279,,,chr3:170423327-170432279,source,NMD rescued,0,""
ctrl_ctrl,MNAT1,ENSG00000020426.11,ENSG00000020426.11:s:60811986-60812127,0.0065,4e-04,4,4,1,chr14,+,ENSG00000020426.11:s:60811986-60812127_60812127-60817918,60812127,60817918,,,chr14:60812127-60817918,source,NMD rescued,0,""
ctrl_ctrl,MNAT1,ENSG00000020426.11,ENSG00000020426.11:t:60818722-60818860,0.003,0,3,3,1,chr14,+,ENSG00000020426.11:t:60818722-60818860_60817949-60818722,60817949,60818722,,,chr14:60817949-60818722,target,NMD rescued,0,""
ctrl_ctrl,NRXN3,ENSG00000021645.20,ENSG00000021645.20:s:78297831-78297860,0.0068,0.0091,3,4,1,chr14,+,ENSG00000021645.20:s:78297831-78297860_78297860-78298668,78297860,78298668,,,chr14:78297860-78298668,source,non-NMD rescued,0,""
ctrl_ctrl,AGPAT4,ENSG00000026652.15,ENSG00000026652.15:s:161165838-161166417,0.0428,0.0131,4,5,1,chr6,-,ENSG00000026652.15:s:161165838-161166417_161153499-161166248,161153499,161166248,,,chr6:161153499-161166248,source,non-NMD rescued,0,""
