paste_into_igv_junction,auc,avg_fpr,avg_tpr,fpr_value,tpr_value
chr1:1022462-1031785,0.6,0.161220043572985,0.232352941176471,0.259259259259259,0.4
chr1:1051815-1053753,0.62962962962963,0.443639291465378,0.576086956521739,0.333333333333333,0.4
chr1:1310688-1310788,0.501851851851852,0.209259259259259,0.2425,0.444444444444444,0.4
chr1:1325102-1327241,0.643518518518519,0.44263775971093,0.591463414634146,0.37037037037037,0.5
chr1:2028292-2029551,0.642592592592593,0.28125,0.4453125,0.222222222222222,0.4
chr1:2487376-2489207,0.662962962962963,0.307519640852974,0.501515151515152,0.296296296296296,0.5
chr1:10105744-10106197,0.54537037037037,0.489057239057239,0.536363636363636,0.518518518518519,0.6
chr1:10126877-10126958,0.596296296296296,0.209876543209877,0.266666666666667,0.333333333333333,0.45
chr1:10279138-10282400,0.562037037037037,0.471604938271605,0.532222222222222,0.444444444444444,0.55
chr1:10495116-10495274,0.57962962962963,0.229938271604938,0.314583333333333,0.444444444444444,0.5
chr1:11013965-11018733,0.621296296296296,0.514619883040936,0.65,0.481481481481482,0.65
chr1:11285732-11293467,0.525,0.282186948853616,0.285714285714286,0.333333333333333,0.3
chr1:11523442-11523942,0.50462962962963,0.711500974658869,0.734210526315789,0.62962962962963,0.65
chr1:11658393-11658533,0.631481481481481,0.441975308641975,0.575555555555556,0.481481481481482,0.6
chr1:11658628-11658736,0.544444444444444,0.480676328502416,0.526086956521739,0.444444444444444,0.5
chr1:13731117-13731567,0.674074074074074,0.23882503192848,0.427586206896552,0.296296296296296,0.55
chr1:13731616-13732779,0.586111111111111,0.195767195767196,0.3,0.333333333333333,0.45
chr1:13749487-13769118,0.533333333333333,0.557504873294347,0.586842105263158,0.555555555555556,0.55
chr1:15719920-15721329,0.6,0.456521739130435,0.558695652173913,0.555555555555556,0.6
chr1:15721388-15725317,0.651851851851852,0.433977455716586,0.589130434782609,0.333333333333333,0.65
chr1:15938006-15939296,0.449074074074074,0.156378600823045,0.0388888888888889,0.222222222222222,0.15
